gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,PaperlessBilling,MonthlyCharges,TotalCharges,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaymentMethod,Churn
0,1,0,0,1.0,1,1,0.8867265469061878,0.8919859219939995,1.0,1.0,0.2116659776565087,0.43061584326402724,0.4702184215411487,0.24498101287461047,1.0,0.8594052905884622,0.0,0.04988454551897836,0
0,0,0,0,0.16666666666666666,1,1,0.6591816367265468,0.11522617124394186,0.0,1.0,1.0,0.43061584326402724,1.0,1.0,1.0,0.8594052905884622,1.0,1.0,0
1,1,1,0,1.0,1,0,0.6576846307385229,0.6786348949919225,1.0,0.3338921227970697,0.2116659776565087,0.43061584326402724,0.4702184215411487,1.0,0.8210352380236403,0.8594052905884622,0.0,0.0,0
1,0,0,0,0.9305555555555555,0,0,0.2529940119760479,0.3552273251788599,0.00813844254279239,0.3338921227970697,0.2116659776565087,1.0,1.0,0.24498101287461047,0.8210352380236403,1.0,0.0,1.0,0
1,1,1,0,0.1388888888888889,1,0,0.6686626746506985,0.09611700900069237,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8594052905884622,1.0,1.0,1
1,1,1,0,1.0,1,0,0.7964071856287425,0.7974382644818832,1.0,1.0,1.0,0.43061584326402724,1.0,1.0,0.8210352380236403,0.8594052905884622,0.0,0.04988454551897836,0
1,0,0,0,0.9027777777777777,1,0,0.07185628742514971,0.18877798292176323,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11142688317079419,0
0,0,1,1,0.9027777777777777,1,1,0.8677644710578842,0.8039291483960305,1.0,1.0,1.0,0.43061584326402724,0.4702184215411487,1.0,0.8210352380236403,0.8594052905884622,1.0,1.0,1
0,0,0,0,0.041666666666666664,1,0,0.7669660678642716,0.031658204477267485,0.0,1.0,1.0,0.43061584326402724,1.0,1.0,0.8210352380236403,0.8594052905884622,1.0,1.0,0
1,0,0,0,0.013888888888888888,1,1,0.010978043912175633,9.808446803600233e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.04988454551897836,0
0,0,1,0,0.013888888888888888,1,1,0.3493013972055888,0.004009923840295407,0.0,0.3338921227970697,0.2116659776565087,0.43061584326402724,1.0,1.0,1.0,1.0,1.0,0.11142688317079419,0
1,0,1,0,0.875,1,1,0.8468063872255489,0.7597738287560581,1.0,1.0,1.0,0.43061584326402724,0.4702184215411487,1.0,0.8210352380236403,0.8594052905884622,1.0,1.0,1
1,0,1,1,0.861111111111111,1,0,0.014970059880239528,0.143676436648973,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1,0,0,0,0.8055555555555555,1,0,0.8043912175648704,0.657990999307639,0.0,1.0,0.2116659776565087,0.43061584326402724,1.0,1.0,0.8210352380236403,0.8594052905884622,0.21859967136624742,0.04988454551897836,0
1,0,0,0,0.5694444444444444,1,1,0.8597804391217565,0.4993768751442418,1.0,1.0,1.0,0.43061584326402724,0.4702184215411487,1.0,0.8210352380236403,0.8594052905884622,1.0,1.0,1
1,0,1,1,0.18055555555555555,0,0,0.21956087824351295,0.06595315024232634,0.00813844254279239,0.3338921227970697,0.2116659776565087,0.43061584326402724,1.0,0.24498101287461047,1.0,1.0,0.0,0.11142688317079419,0
1,0,0,0,0.05555555555555555,1,1,0.32185628742514966,0.021174705746595895,0.0,0.3338921227970697,1.0,1.0,1.0,0.24498101287461047,1.0,1.0,1.0,0.11142688317079419,0
1,0,0,0,0.013888888888888888,1,1,0.6047904191616766,0.006963997230556198,1.0,1.0,1.0,0.43061584326402724,1.0,1.0,1.0,1.0,1.0,1.0,1
0,0,0,0,0.18055555555555555,1,1,0.8163672654690619,0.15463304869605354,1.0,1.0,0.2116659776565087,1.0,1.0,1.0,0.8210352380236403,0.8594052905884622,1.0,1.0,1
0,0,0,0,0.8055555555555555,1,1,0.06137724550898202,0.17311331640895455,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0,0,1,1,1.0,1,1,0.55688622754491,0.6021924763443341,0.0,0.3338921227970697,0.2116659776565087,0.43061584326402724,0.4702184215411487,0.24498101287461047,1.0,0.8594052905884622,0.0,1.0,0
1,0,1,1,0.7083333333333333,1,0,0.009980039920159695,0.12323447957535197,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0,0,0,0,0.736111111111111,1,0,0.7989021956087823,0.61078352180937,1.0,1.0,0.2116659776565087,0.43061584326402724,0.4702184215411487,1.0,0.8210352380236403,1.0,0.21859967136624742,0.11142688317079419,0
1,1,0,0,0.2222222222222222,1,1,0.5578842315369261,0.14338218324486499,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.04988454551897836,0
1,0,1,1,0.06944444444444445,1,1,0.37075848303393216,0.027763674128779135,1.0,0.3338921227970697,1.0,1.0,1.0,0.24498101287461047,1.0,1.0,1.0,0.11142688317079419,0
0,0,1,1,1.0,1,0,0.009980039920159695,0.16670320793907226,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04988454551897836,0
0,0,1,1,0.5277777777777778,1,0,0.018962075848303367,0.08798176782829449,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.11142688317079419,0
0,0,0,0,0.013888888888888888,1,1,0.36826347305389223,0.004229171474728826,0.0,0.3338921227970697,1.0,1.0,1.0,1.0,1.0,0.8594052905884622,1.0,1.0,0
1,1,0,0,0.625,1,0,0.4406187624750499,0.319951534733441,0.0,0.3338921227970697,0.2116659776565087,1.0,0.4702184215411487,1.0,1.0,0.8594052905884622,0.21859967136624742,0.0,1
0,0,0,1,0.4861111111111111,1,0,0.36976047904191617,0.23051580890837758,0.0,0.3338921227970697,0.2116659776565087,0.43061584326402724,1.0,1.0,1.0,1.0,0.21859967136624742,0.0,0
0,0,1,0,0.9722222222222222,1,0,0.012475049900199597,0.15911031617816757,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04988454551897836,0
0,0,1,1,0.9722222222222222,1,0,0.6202594810379243,0.6461054696515116,1.0,0.3338921227970697,0.2116659776565087,0.43061584326402724,0.4702184215411487,0.24498101287461047,0.8210352380236403,1.0,0.0,1.0,0
0,1,0,0,0.4722222222222222,0,1,0.37624750499001997,0.20160973921070854,0.00813844254279239,0.3338921227970697,1.0,0.43061584326402724,0.4702184215411487,1.0,0.8210352380236403,0.8594052905884622,1.0,1.0,0
1,0,0,0,0.20833333333333331,1,0,0.6661676646706587,0.1385933533348719,0.0,1.0,1.0,1.0,0.4702184215411487,1.0,0.8210352380236403,1.0,1.0,1.0,0
1,0,0,0,0.7916666666666666,1,1,0.3602794411177645,0.3595545811216247,0.0,0.3338921227970697,1.0,0.43061584326402724,1.0,0.24498101287461047,1.0,1.0,0.21859967136624742,0.11142688317079419,0
1,0,0,0,0.9305555555555555,1,0,0.9745508982035929,0.8923955688899147,1.0,1.0,0.2116659776565087,0.43061584326402724,0.4702184215411487,0.24498101287461047,0.8210352380236403,0.8594052905884622,0.0,0.0,1
0,0,1,1,0.8472222222222222,1,0,0.0119760479041916,0.14918070620816987,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0,0,1,1,0.2777777777777778,1,0,0.017964071856287428,0.04890376182783292,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.11142688317079419,0
0,0,1,1,0.861111111111111,1,1,0.8732534930139721,0.771370874682668,1.0,1.0,1.0,0.43061584326402724,1.0,0.24498101287461047,0.8210352380236403,0.8594052905884622,0.21859967136624742,0.0,0
1,0,0,1,0.736111111111111,1,0,0.7724550898203593,0.5790560812370182,0.0,1.0,0.2116659776565087,0.43061584326402724,0.4702184215411487,1.0,1.0,0.8594052905884622,0.21859967136624742,1.0,0
0,0,0,1,0.4861111111111111,1,1,0.015469061876247525,0.07220170782367875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21859967136624742,0.0,0
1,0,0,0,0.027777777777777776,1,0,0.7624750499001995,0.01838218324486499,0.0,1.0,1.0,1.0,0.4702184215411487,1.0,0.8210352380236403,0.8594052905884622,1.0,1.0,1
1,0,0,0,0.6388888888888888,1,0,0.014970059880239528,0.10191553196399723,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04988454551897836,0
1,0,0,0,0.041666666666666664,1,1,0.8922155688622755,0.03459496884375722,0.0,1.0,1.0,0.43061584326402724,0.4702184215411487,0.24498101287461047,0.8210352380236403,0.8594052905884622,1.0,1.0,0
0,0,0,0,0.15277777777777776,1,1,0.5783433133732534,0.09452457881375492,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
0,0,1,1,0.1111111111111111,1,0,0.012475049900199597,0.01629933071774752,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21859967136624742,1.0,0
0,0,1,1,0.9583333333333333,1,0,0.4276447105788423,0.46631087006692823,1.0,0.3338921227970697,0.2116659776565087,1.0,1.0,0.24498101287461047,1.0,1.0,0.0,0.0,0
1,0,0,0,0.027777777777777776,1,1,0.6716566866267464,0.017135933533348722,0.0,1.0,1.0,1.0,0.4702184215411487,1.0,1.0,0.8594052905884622,1.0,1.0,1
0,0,1,0,0.7222222222222222,0,0,0.16866267465069862,0.2238806831294715,0.00813844254279239,0.3338921227970697,0.2116659776565087,1.0,0.4702184215411487,1.0,1.0,1.0,0.21859967136624742,0.11142688317079419,0
1,0,0,0,0.986111111111111,1,0,0.7894211576846308,0.7695649665358875,1.0,1.0,0.2116659776565087,1.0,1.0,0.24498101287461047,1.0,0.8594052905884622,0.21859967136624742,0.0,0
0,0,0,1,0.16666666666666666,1,1,0.5793413173652695,0.10087699053773368,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0
0,0,0,1,0.6944444444444444,1,0,0.015968063872255467,0.10986037387491346,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1,0,0,0,0.013888888888888888,1,1,0.2544910179640718,0.0029136856681283175,0.0,0.3338921227970697,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.04988454551897836,0
0,0,0,0,0.7916666666666666,1,1,0.5563872255489022,0.4786002769443804,0.0,0.3338921227970697,0.2116659776565087,0.43061584326402724,0.4702184215411487,0.24498101287461047,0.8210352380236403,1.0,0.0,0.0,0
1,1,0,0,0.9722222222222222,0,1,0.2544910179640718,0.34535541195476577,0.00813844254279239,0.3338921227970697,1.0,0.43061584326402724,0.4702184215411487,1.0,0.8210352380236403,1.0,0.21859967136624742,0.0,0
0,0,0,0,0.08333333333333333,1,0,0.010978043912175633,0.011314331871682438,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0,0,0,0,0.013888888888888888,1,1,0.01696606786427146,0.00016732056312024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.11142688317079419,0
0,0,0,0,0.013888888888888888,1,0,0.7300399201596806,0.008412185552734826,0.0,1.0,1.0,0.43061584326402724,1.0,0.24498101287461047,0.8210352380236403,1.0,1.0,1.0,1
0,0,0,0,0.8055555555555555,1,1,0.8902195608782435,0.7285887375951996,1.0,1.0,0.2116659776565087,0.43061584326402724,0.4702184215411487,1.0,0.8210352380236403,0.8594052905884622,0.21859967136624742,1.0,0
0,1,0,0,0.09722222222222221,1,1,0.46307385229540915,0.05479459958458343,0.0,0.3338921227970697,1.0,0.43061584326402724,0.4702184215411487,1.0,0.8210352380236403,1.0,1.0,1.0,0
1,0,1,1,0.5833333333333333,1,0,0.35878243512974056,0.26336833602584814,0.0,0.3338921227970697,0.2116659776565087,0.43061584326402724,1.0,1.0,1.0,1.0,1.0,0.11142688317079419,0
